1809.0, 396.0
1733.0, 418.0
1811.0, 522.0
1817.0, 539.0
1800.0, 788.0
1671.0, 768.0
1671.0, 474.0
1722.0, 571.0
1695.0, 682.0
1608.0, 551.0
1633.0, 629.0
1524.0, 760.0
1540.0, 807.0
1441.0, 470.0
1419.0, 529.0
1419.0, 627.0
1428.0, 748.0
1470.0, 867.0
1146.0, 1084.0
914.0, 1189.0
746.0, 1283.0
834.0, 874.0
525.0, 932.0
348.0, 953.0
209.0, 956.0
826.0, 647.0
456.0, 668.0
236.0, 683.0
97.0, 677.0
909.0, 472.0
572.0, 418.0
349.0, 401.0
205.0, 408.0
1015.0, 311.0
762.0, 215.0
587.0, 172.0
444.0, 175.0
